Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,STATE,ALABAMA,1,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"260,000",
SURVEY,2019,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,610,000",
SURVEY,2019,YEAR,,STATE,DELAWARE,10,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"153,000",
SURVEY,2019,YEAR,,STATE,GEORGIA,13,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"86,000",
SURVEY,2019,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"9,860,000",
SURVEY,2019,YEAR,,STATE,INDIANA,18,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,360,000",
SURVEY,2019,YEAR,,STATE,IOWA,19,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"9,120,000",
SURVEY,2019,YEAR,,STATE,KANSAS,20,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,490,000",
SURVEY,2019,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,680,000",
SURVEY,2019,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"860,000",
SURVEY,2019,YEAR,,STATE,MARYLAND,24,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"475,000",
SURVEY,2019,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,720,000",
SURVEY,2019,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"6,770,000",
SURVEY,2019,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,630,000",
SURVEY,2019,YEAR,,STATE,MISSOURI,29,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,010,000",
SURVEY,2019,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,840,000",
SURVEY,2019,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"92,000",
SURVEY,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"225,000",
SURVEY,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,510,000",
SURVEY,2019,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,400,000",
SURVEY,2019,YEAR,,STATE,OHIO,39,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,270,000",
SURVEY,2019,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"440,000",
SURVEY,2019,YEAR,,STATE,OTHER STATES,,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,0,
SURVEY,2019,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"610,000",
SURVEY,2019,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"315,000",
SURVEY,2019,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,440,000",
SURVEY,2019,YEAR,,STATE,TENNESSEE,47,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,370,000",
SURVEY,2019,YEAR,,STATE,TEXAS,48,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"72,000",
SURVEY,2019,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"560,000",
SURVEY,2019,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,690,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,ALABAMA,1,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"275,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,ARKANSAS,5,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,650,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,DELAWARE,10,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"158,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,GEORGIA,13,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"105,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,ILLINOIS,17,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"9,940,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,INDIANA,18,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,370,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,IOWA,19,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"9,130,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,KANSAS,20,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,550,000",
SURVEY,2019,YEAR - AUG FORECAST,,STATE,KENTUCKY,21,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,690,000",
